Class Name,Accuracy,Max F1,AUC ROC,Precision,Recall
suture material,0.8105236205351427,0.06687697160883281,0.6744417083979528,0.0364762560220234,0.4015151515151515
sternotomy,0.9533990526181026,0.1377672209026128,0.763820930978121,0.10661764705882353,0.19463087248322147
supra aortic elongation,0.8541800025604916,0.024013722126929673,0.66078221379496,0.012477718360071301,0.3181818181818182
metal,0.9494302906157982,0.05741626794258373,0.6939547630429517,0.035398230088495575,0.1518987341772152
abnormal foreign body,0.15388554602483676,0.0012091898428053204,0.3140771102856411,0.0006049606775559589,1.0
central venous catheter via jugular vein,0.9851491486365382,0.17266187050359713,0.9491847794281166,0.12631578947368421,0.2727272727272727
vertebral anterior compression,0.9429010369991039,0.07098121085594988,0.6316527251339694,0.05329153605015674,0.10625
diaphragmatic eventration,0.5027525284854693,0.03335822753298481,0.5785077936269801,0.01709619800969635,0.6836734693877551
calcified densities,0.9916784022532327,0.0588235294117647,0.6012051564604433,0.2222222222222222,0.03389830508474576
volume loss,0.9050057611061324,0.16271186440677965,0.8134557906038711,0.09836065573770492,0.47058823529411764
single chamber device,0.9857892715401357,0.20289855072463767,0.943866309007736,0.14736842105263157,0.32558139534883723
vertebral compression,0.9925745743182691,0.03389830508474576,0.6175287782224198,0.030303030303030304,0.038461538461538464
bullas,0.9925745743182691,0.06557377049180328,0.8202748383303938,0.07692307692307693,0.05714285714285714
axial hyperostosis,0.6077326846754577,0.01479575426182052,0.6332594163774263,0.007474813129671758,0.71875
aortic button enlargement,0.901549097426706,0.030303030303030304,0.696034071879428,0.016129032258064516,0.25
calcified granuloma,0.5755985149148637,0.04660529344073648,0.580856482697054,0.02427329937069224,0.5827338129496403
clavicle fracture,0.9951350659326591,0.05128205128205128,0.5939154868691235,0.05,0.05263157894736842
dual chamber device,0.9097426705927538,0.09743589743589745,0.9197055261276248,0.052269601100412656,0.7169811320754716
mediastinic lipomatosis,0.6383305594674178,0.011896431070678797,0.6303894935849196,0.006007067137809187,0.6071428571428571
esophagic dilatation,1.0,nan,0.15377720870678613,0.0,nan
azygoesophageal recess shift,1.0,nan,0.997439180537772,0.0,nan
breast mass,1.0,nan,0.9862996158770806,0.0,nan
round atelectasis,1.0,nan,0.8399487836107554,0.0,nan
surgery humeral,1.0,nan,0.44775928297055057,0.0,nan
aortic aneurysm,1.0,nan,0.6076824583866838,0.0,nan
nephrostomy tube,1.0,nan,0.12740076824583868,0.0,nan
sternoclavicular junction hypertrophy,1.0,nan,0.9492957746478873,0.0,nan
pulmonary artery hypertension,1.0,nan,0.5871959026888605,0.0,nan
Average,0.8293333858562383,0.05209718328333128,0.6719182982329052,0.030281339969819056,nan
