Dataset,Accuracy,Max F1,AUC ROC,Precision,Recall
chexpert_feature,0.8644000000000001,0.6880837157748669,0.913347059302313,0.6160056996662853,0.787180836229773
chexray_text,0.7484400464358272,0.2625998222993849,0.7164087576472008,0.22424321949764606,0.4968634518396521
covid-cxr2_feature,0.7558100370495117,0.8056897477187331,0.8026919384090182,0.7014018691588785,0.9464060529634301
rsna_feature,0.8242458309911935,0.6341272940257712,0.8691215684773712,0.6046165301563663,0.6666666666666666
padchest_text_rare,0.846416460678399,0.053738945202462765,0.7006070407500374,0.026750795490862175,nan
padchest_feature_seen,0.9130621650785523,0.28195177215062384,0.7839458113395431,0.3078537342411968,0.46447918552750106
padchest_text_unseen,0.8219178082191781,0.05687716647802562,0.7063434850962458,0.031597490640546386,nan
covid-cxr2_text,0.7766924890535534,0.8173289183222959,0.8404434043724966,0.7266928361138371,0.9337957124842371
padchest_feature_rare,0.8293662126718073,0.0521084530857862,0.6719508693333492,0.030288090630520712,nan
padchest_feature_unseen,0.8199419621900739,0.05810438317332132,0.6715724313716058,0.05316258924502213,nan
