Class Name,Accuracy,Max F1,AUC ROC,Precision,Recall
major fissure thickening,0.9617206503648701,0.01973684210526316,0.7692074592074593,0.010238907849829351,0.2727272727272727
calcified granuloma,0.7075918576366662,0.053874844591794445,0.6210029369622134,0.028583992963940194,0.4676258992805755
volume loss,0.9108948918192293,0.1596130592503023,0.8244434885471557,0.09792284866468842,0.43137254901960786
flattened diaphragm,0.4693381129176802,0.018474656560871622,0.6011976955730747,0.009350275713258211,0.7647058823529411
sclerotic bone lesion,0.7075918576366662,0.011260285838025118,0.5559246883434006,0.005704256252742431,0.43333333333333335
axial hyperostosis,0.4567917040071694,0.014862981885740827,0.6830469051291939,0.007487131492746842,1.0
round atelectasis,1.0,nan,0.5909082258003121,0.0,nan
hypoexpansion basal,0.4011010113941877,0.00973957230573788,0.35191174586909185,0.0048977853492333905,0.8518518518518519
abnormal foreign body,0.3048265266931251,0.0011037527593818985,0.49891151235753617,0.0005522827687776141,0.75
cervical rib,0.6754576878760722,0.0007886435331230285,0.7153472734295446,0.0003946329913180742,0.5
supra aortic elongation,0.967865830239406,0.03846153846153846,0.5758577392723734,0.023148148148148147,0.11363636363636363
esophagic dilatation,1.0,nan,0.8308072457378013,0.0,nan
pleural mass,1.0,nan,0.7258805122590064,0.0,nan
osteosynthesis material,0.35347586736653436,0.0140597539543058,0.6100414930174746,0.007086614173228346,0.8780487804878049
bullas,0.9628728715913455,0.05863192182410423,0.9473094115873084,0.03308823529411765,0.2571428571428571
aortic button enlargement,0.9910382793496352,0.0547945205479452,0.7024153730389429,0.08,0.041666666666666664
apical pleural thickening,0.6737933683267188,0.09904492394764766,0.9678491168931493,0.055205047318611984,0.48109965635738833
dual chamber device,0.9544232492638587,0.13202933985330073,0.6962151942879169,0.07584269662921349,0.5094339622641509
breast mass,1.0,nan,0.6461394325794546,0.0,nan
pulmonary artery hypertension,1.0,nan,0.6677336747759284,0.0,nan
empyema,1.0,nan,0.8748879498015111,0.0,nan
callus rib fracture,0.8826014594802202,0.08216432865731463,0.6482939192961301,0.04846335697399527,0.26973684210526316
central venous catheter via jugular vein,0.9914223530917936,0.25,0.9973111395646607,0.25,0.25
mediastinic lipomatosis,0.8499551913967481,0.016792611251049538,0.7347503226035588,0.008598452278589854,0.35714285714285715
calcified densities,0.9726027397260274,0.03619909502262443,0.6622352564735997,0.024691358024691357,0.06779661016949153
aortic endoprosthesis,0.6676481884521828,0.0007701193685021179,0.4636363636363636,0.0003852080123266564,1.0
pleural plaques,0.9279221610549225,0.0035460992907801413,0.9700486805021779,0.0017793594306049821,0.5
ground glass pattern,0.9920624759953911,0.03174603174603175,0.6856865146812917,0.025,0.043478260869565216
total atelectasis,0.9971834592241711,0.08695652173913045,0.6823857474961416,0.045454545454545456,1.0
suture material,0.8600691332735886,0.09,0.6813847863024441,0.05056179775280899,0.4090909090909091
COPD signs,0.5745743182691077,0.29010895107882934,0.693854033290653,0.18082556591211718,0.7332613390928726
nephrostomy tube,1.0,nan,0.9475426915431227,0.0,nan
right sided aortic arch,0.4635770067853028,0.0004772130756382725,0.9011909613730018,0.00023866348448687351,1.0
mediastinal shift,0.9841249519907822,0.061068702290076333,0.9022627144018136,0.031746031746031744,0.8
aortic elongation,0.6415311739854052,0.2179379715004191,0.5544363213974817,0.13113651647612642,0.6446280991735537
sternotomy,0.9283062347970811,0.09400324149108591,0.47439180537772085,0.06196581196581197,0.19463087248322147
vertebral anterior compression,0.8922033030341826,0.09081081081081081,0.9912932138284251,0.054901960784313725,0.2625
ventriculoperitoneal drain tube,0.6937652029189605,0.0008357709987463434,0.5000853825136612,0.0004180602006688963,1.0
single chamber device,0.9496863397772373,0.125,0.07298335467349548,0.0691358024691358,0.6511627906976745
central venous catheter,0.99487901677122,0.0930232558139535,0.7212071155873665,0.07692307692307693,0.11764705882352941
multiple nodules,0.9964153117398541,0.12903225806451615,0.7512342790719144,0.15384615384615385,0.1111111111111111
diaphragmatic eventration,0.33440020483932914,0.03166915052160953,0.7615877080665813,0.016129032258064516,0.8673469387755102
sternoclavicular junction hypertrophy,1.0,nan,0.773370959466393,0.0,nan
cyst,0.4743310715657406,0.0004869734599464329,0.9359795134443022,0.00024354603019970775,1.0
azygoesophageal recess shift,1.0,nan,0.9018945015482145,0.0,nan
respiratory distress,0.9911663039303547,0.02857142857142857,0.7424432765030125,0.014492753623188406,1.0
calcified mediastinal adenopathy,0.38471386506209193,0.0012471419663271667,0.6272154976764293,0.0006239600665557404,1.0
external foreign body,0.07297401101011394,0.00027616680475006904,0.7757476575535874,0.00013810247203424942,1.0
metal,0.9737549609525029,0.08928571428571429,0.5993379773726595,0.06896551724137931,0.12658227848101267
Average,0.8219178082191781,0.05687716647802562,0.7063434850962458,0.031597490640546386,nan
